reference_number,reading_date,vendor,outdoor_temp_c,flow_temp_c,return_temp_c,dhw_actual_c,electrical_energy_kwh,thermal_energy_kwh,compressor_starts,defrost_cycles,error_code_raw,status_raw
TH-02001,2026-06-01,A,17.2,31.8,24.6,50.1,1.42,5.3,8,0,,ok
TH-02002,2026-06-01,A,17.2,32.5,26.4,49.5,1.45,4.7,13,0,,OK
TH-02004,2026-06-01,A,17.2,31.8,26.2,46.9,2.23,7.1,11,0,,ok
TH-02005,2026-06-01,A,17.2,33.4,28.3,52.8,0.87,3.0,8,0,,ok
TH-02006,2026-06-01,A,17.2,32.2,24.8,50.4,1.24,5.4,10,0,,OK
TH-02007,2026-06-01,A,17.2,32.9,28.0,52.3,0.93,3.7,9,0,,ok
TH-02008,2026-06-01,A,17.2,30.8,25.8,49.8,1.41,5.4,2,0,,ok
TH-02009,2026-06-01,A,17.2,31.1,24.8,47.0,2.1,7.5,10,0,,ok
TH-02011,2026-06-01,A,17.2,32.5,25.6,50.9,1.14,4.8,5,0,,OK
TH-02015,2026-06-01,A,17.2,33.2,26.3,52.6,1.28,4.4,11,0,,OK
TH-02016,2026-06-01,A,17.2,33.0,28.3,50.5,1.53,6.5,9,0,,OK
TH-02019,2026-06-01,A,17.2,-999,27.0,48.4,1.41,4.5,5,0,,OK
TH-02020,2026-06-01,A,17.2,30.6,24.7,48.8,1.56,6.1,6,0,,OK
TH-02021,2026-06-01,A,17.2,31.4,26.7,47.2,0.81,3.0,5,0,,OK
TH-02023,2026-06-01,A,17.2,32.0,26.3,49.3,1.68,7.0,5,0,E-211,warn
TH-02033,2026-06-01,A,17.2,31.4,24.0,47.0,1.62,6.8,9,0,,OK
TH-02035,2026-06-01,A,17.2,31.3,26.5,51.5,1.05,3.9,8,0,,ok
TH-02036,2026-06-01,A,17.2,31.4,24.4,51.7,1.79,5.8,9,0,,OK
TH-02037,2026-06-01,A,17.2,33.4,28.6,46.3,1.8,6.5,8,0,E-317,warn
TH-02038,2026-06-01,A,17.2,31.6,25.0,50.5,1.1,4.0,8,0,,OK
TH-02040,2026-06-01,A,17.2,32.9,25.6,50.7,1.45,6.2,8,0,,OK
TH-02045,2026-06-01,A,17.2,32.5,25.6,53.0,1.36,4.4,4,0,,ok
TH-02046,2026-06-01,A,17.2,-999,23.6,47.2,0.74,3.1,4,0,,ok
TH-02047,2026-06-01,A,17.2,31.1,26.0,48.9,1.46,5.5,12,0,,ok
TH-02048,2026-06-01,A,17.2,30.9,23.5,48.3,1.37,5.3,6,0,,OK
TH-02049,2026-06-01,A,17.2,31.7,25.3,48.7,1.86,6.6,15,0,,ok
TH-02050,2026-06-01,A,17.2,32.8,26.8,46.4,1.38,4.7,12,0,,ok
TH-02051,2026-06-01,A,17.2,30.9,25.2,50.4,1.93,6.1,6,0,,OK
TH-02052,2026-06-01,A,17.2,31.4,25.2,49.6,1.22,5.1,10,0,,OK
TH-02053,2026-06-01,A,17.2,33.4,28.5,51.7,1.21,4.8,8,0,,OK
TH-02054,2026-06-01,A,17.2,33.0,27.2,52.3,1.04,4.2,8,0,,ok
TH-02056,2026-06-01,A,17.2,32.0,24.6,50.7,2.25,7.5,9,0,,OK
TH-02061,2026-06-01,A,17.2,33.0,27.8,47.7,1.56,5.8,12,0,,OK
TH-02062,2026-06-01,A,17.2,30.6,23.8,47.2,1.16,4.6,8,0,,OK
TH-02063,2026-06-01,A,17.2,31.6,26.6,50.4,1.37,5.4,8,0,E-211,OK
TH-02065,2026-06-01,A,17.2,31.9,25.4,50.8,1.61,6.4,9,0,,OK
TH-02071,2026-06-01,A,17.2,32.3,27.3,48.3,1.71,6.4,8,0,,ok
TH-02073,2026-06-01,A,17.2,32.4,25.0,46.0,1.11,4.0,3,0,,ok
TH-02074,2026-06-01,A,17.2,30.7,25.9,51.1,1.26,4.3,7,0,,OK
TH-02075,2026-06-01,A,17.2,32.0,25.7,47.4,1.58,6.3,11,0,,ok
TH-02076,2026-06-01,A,17.2,32.9,28.0,51.8,1.97,6.5,8,0,,OK
TH-02077,2026-06-01,A,17.2,31.6,25.0,46.6,1.86,7.1,8,0,,ok
TH-02080,2026-06-01,A,17.2,30.6,25.4,48.1,1.8,6.0,9,0,,ok
TH-02081,2026-06-01,A,17.2,31.3,26.0,50.0,1.24,4.6,5,0,,ok
TH-02083,2026-06-01,A,17.2,32.9,26.4,52.6,0.82,3.1,9,0,,OK
TH-02085,2026-06-01,A,17.2,32.2,25.1,48.5,1.64,5.4,4,0,,ok
TH-02086,2026-06-01,A,17.2,31.0,23.7,48.1,1.62,6.0,13,0,,OK
TH-02087,2026-06-01,A,17.2,32.9,27.5,46.6,1.62,6.3,7,0,,OK
TH-02090,2026-06-01,A,17.2,31.9,27.2,46.0,1.79,7.0,9,0,,OK
TH-02093,2026-06-01,A,17.2,31.9,26.6,51.2,1.05,3.9,8,0,,ok
TH-02094,2026-06-01,A,17.2,30.5,25.0,47.9,1.63,5.7,11,0,,OK
TH-02095,2026-06-01,A,17.2,31.9,27.4,47.7,1.68,5.4,13,0,,ok
TH-02097,2026-06-01,A,17.2,32.1,27.6,51.0,1.02,4.2,11,0,,OK
TH-02098,2026-06-01,A,17.2,33.2,26.0,47.2,1.44,5.8,15,0,,ok
TH-02100,2026-06-01,A,17.2,31.9,27.4,49.3,1.0,4.1,9,0,,OK
TH-02111,2026-06-01,A,17.2,30.6,25.6,51.1,1.4,4.5,7,0,,OK
TH-02112,2026-06-01,A,17.2,31.2,26.6,52.1,0.93,4.0,12,0,,OK
TH-02113,2026-06-01,A,17.2,33.4,27.6,48.8,1.91,6.5,11,0,,ok
TH-02114,2026-06-01,A,17.2,30.8,26.2,51.2,0.9,3.9,8,0,,ok
TH-02118,2026-06-01,A,17.2,31.8,25.9,50.5,1.0,4.1,9,0,,OK
TH-02121,2026-06-01,A,17.2,33.5,27.8,47.7,0.79,3.2,8,0,,ok
TH-02122,2026-06-01,A,17.2,31.3,26.1,49.4,1.33,4.9,10,0,,OK
TH-02124,2026-06-01,A,17.2,31.1,24.6,51.1,2.11,7.2,17,0,,ok
TH-02125,2026-06-01,A,17.2,31.3,26.6,46.1,1.15,4.7,8,0,,OK
TH-02126,2026-06-01,A,17.2,33.2,28.6,50.7,1.88,6.3,9,0,,OK
TH-02127,2026-06-01,A,17.2,32.0,27.4,48.0,1.3,4.4,11,0,,ok
TH-02129,2026-06-01,A,17.2,32.7,27.7,52.5,1.6,6.1,7,0,,ok
TH-02132,2026-06-01,A,17.2,33.2,27.4,47.1,1.99,6.3,13,0,E-505,warn
TH-02133,2026-06-01,A,17.2,31.6,25.3,48.0,0.96,4.1,5,0,,OK
TH-02134,2026-06-01,A,17.2,30.8,24.7,52.4,0.78,3.4,9,0,,ok
TH-02135,2026-06-01,A,17.2,-999,23.9,47.4,1.95,7.1,11,0,,ok
TH-02136,2026-06-01,A,17.2,31.5,25.9,49.9,0.9,3.2,8,0,,OK
TH-02137,2026-06-01,A,17.2,31.1,25.5,49.7,2.09,6.5,12,0,,OK
TH-02139,2026-06-01,A,17.2,32.8,26.3,47.0,1.34,5.6,9,0,,ok
TH-02140,2026-06-01,A,17.2,31.4,25.0,49.3,1.2,4.3,12,0,,ok
TH-02141,2026-06-01,B,17.2,,,,17118.9,,12,0,6021,0
TH-02143,2026-06-01,B,17.2,,,,17872.9,,8,0,,0
TH-02145,2026-06-01,B,17.2,,,,4765.0,,12,0,6021,0
TH-02146,2026-06-01,B,17.2,30.8,26.1,,24455.5,,12,0,,0
TH-02149,2026-06-01,B,17.2,,,,8027.2,,10,0,,0
TH-02152,2026-06-01,B,17.2,,,,22470.2,,11,0,,0
TH-02155,2026-06-01,B,17.2,31.4,25.4,,4438.4,,11,0,6021,0
TH-02160,2026-06-01,B,17.2,,,,14889.2,,11,0,,0
TH-02161,2026-06-01,B,17.2,,,,8239.4,,5,0,6021,0
TH-02162,2026-06-01,B,17.2,,,,14597.8,,5,0,,0
TH-02165,2026-06-01,B,17.2,,,,15061.1,,9,0,,0
TH-02166,2026-06-01,B,17.2,,,,17489.3,,7,0,,0
TH-02170,2026-06-01,B,17.2,,,,11401.2,,5,0,6021,0
TH-02171,2026-06-01,B,17.2,,,,14022.9,,10,0,,0
TH-02173,2026-06-01,B,17.2,,,,6904.2,,9,0,,0
TH-02175,2026-06-01,B,17.2,,,,12005.6,,12,0,6021,0
TH-02176,2026-06-01,B,17.2,,,,5366.9,,6,0,6021,0
TH-02177,2026-06-01,B,17.2,,,,12897.2,,10,0,,0
TH-02178,2026-06-01,B,17.2,,,,19448.1,,10,0,,0
TH-02181,2026-06-01,B,17.2,,,,18697.2,,5,0,,0
TH-02182,2026-06-01,B,17.2,,,,20903.0,,11,0,,0
TH-02184,2026-06-01,B,17.2,,,,20239.3,,2,0,,0
TH-02187,2026-06-01,B,17.2,,,,13563.2,,8,0,,0
TH-02188,2026-06-01,B,17.2,,,,24434.7,,6,0,6021,0
TH-02189,2026-06-01,B,17.2,,,,19308.7,,7,0,,0
TH-02194,2026-06-01,B,17.2,,,,18961.4,,6,0,,0
TH-02196,2026-06-01,B,17.2,,,,25168.6,,11,0,,0
TH-02202,2026-06-01,B,17.2,33.3,28.3,,13770.0,,6,0,,0
TH-02204,2026-06-01,B,17.2,30.6,25.2,,5129.5,,9,0,6021,0
TH-02213,2026-06-01,B,17.2,,,,9273.3,,8,0,,0
TH-02214,2026-06-01,B,17.2,,,,9077.6,,9,0,,0
TH-02215,2026-06-01,B,17.2,,,,18200.3,,10,0,,0
TH-02216,2026-06-01,B,17.2,,,,17113.6,,8,0,6021,0
TH-02223,2026-06-01,B,17.2,,,,22183.8,,9,0,6021,0
TH-02224,2026-06-01,B,17.2,,,,8706.4,,10,0,6021,0
TH-02226,2026-06-01,B,17.2,,,,9691.5,,5,0,6021,0
TH-02228,2026-06-01,B,17.2,,,,23888.4,,4,0,6021,0
TH-02230,2026-06-01,B,17.2,,,,25572.3,,10,0,6021,0
TH-02231,2026-06-01,B,17.2,,,,7527.4,,7,0,6021,0
TH-02234,2026-06-01,B,17.2,,,,13236.8,,8,0,6021,0
TH-02236,2026-06-01,B,17.2,,,,4185.7,,12,0,,0
TH-02238,2026-06-01,B,17.2,,,,7721.4,,7,0,6021,0
TH-02239,2026-06-01,B,17.2,,,,17157.2,,4,0,6021,0
TH-02240,2026-06-01,B,17.2,,,,7999.0,,10,0,,0
TH-02242,2026-06-01,B,17.2,,,,14289.5,,13,0,,0
TH-02243,2026-06-01,B,17.2,,,,11630.3,,14,0,,0
TH-02244,2026-06-01,B,17.2,,,,16819.3,,3,0,,0
TH-02245,2026-06-01,B,17.2,,,,14875.3,,5,0,,0
TH-02246,2026-06-01,B,17.2,,,,15903.5,,4,0,,0
TH-02248,2026-06-01,B,17.2,,,,23231.4,,14,0,6021,0
TH-02249,2026-06-01,B,17.2,,,,6841.8,,6,0,6021,0
TH-02250,2026-06-01,B,17.2,,,,11131.7,,9,0,,0
TH-02256,2026-06-01,B,17.2,,,,7796.5,,12,0,6021,0
TH-02257,2026-06-01,B,17.2,,,,21225.4,,8,0,,0
TH-02258,2026-06-01,B,17.2,,,,10302.3,,7,0,,0
TH-02259,2026-06-01,B,17.2,,,,12234.1,,4,0,,0
TH-02260,2026-06-01,B,17.2,,,,7281.7,,9,0,6021,0
TH-02262,2026-06-01,B,17.2,,,,9125.9,,10,0,6021,0
TH-02265,2026-06-01,B,17.2,,,,22534.6,,11,0,,0
TH-02266,2026-06-01,B,17.2,,,,16057.3,,8,0,,0
TH-02267,2026-06-01,B,17.2,,,,11485.4,,5,0,6021,0
TH-02268,2026-06-01,B,17.2,,,,23769.9,,9,0,,0
TH-02269,2026-06-01,B,17.2,,,,12344.3,,9,0,,0
TH-02270,2026-06-01,B,17.2,,,,21880.5,,5,0,,0
TH-02272,2026-06-01,B,17.2,,,,24797.1,,8,0,,0
TH-02273,2026-06-01,B,17.2,,,,19753.9,,8,0,,0
TH-02275,2026-06-01,B,17.2,,,,12289.8,,5,0,,0
TH-02277,2026-06-01,B,17.2,,,,17827.7,,9,0,,0
TH-02278,2026-06-01,B,17.2,,,,14767.6,,12,0,6021,0
TH-02279,2026-06-01,B,17.2,,,,21035.7,,12,0,6021,0
TH-02283,2026-06-01,B,17.2,,,,21294.9,,2,0,6021,0
TH-02286,2026-06-01,B,17.2,,,,7518.0,,5,0,6021,0
TH-02287,2026-06-01,B,17.2,,,,17969.8,,11,0,6021,0
TH-02290,2026-06-01,B,17.2,,,,7262.0,,7,0,6021,0
TH-02294,2026-06-01,C,17.2,,,,1.18,,,0,,warn
TH-02296,2026-06-01,C,17.2,,,,1.71,,,0,,OK
TH-02297,2026-06-01,C,17.2,,,,0.96,,,0,,
TH-02298,2026-06-01,C,17.2,,,,1.32,,,0,,OK
TH-02299,2026-06-01,C,17.2,,,,-0.54,,,0,,warn
TH-02300,2026-06-01,C,17.2,,,,2.07,,,0,,OK
TH-02302,2026-06-01,C,17.2,,,,1.25,,,0,,warn
TH-02304,2026-06-01,C,17.2,,,,0.91,,,0,,
TH-02307,2026-06-01,C,17.2,,,,1.8,,,0,,warn
TH-02308,2026-06-01,C,17.2,,,,1.87,,,0,,warn
TH-02311,2026-06-01,C,17.2,,,50.8,1.43,,,0,,warn
TH-02313,2026-06-01,C,17.2,,,,1.49,,,0,,warn
TH-02314,2026-06-01,C,17.2,,,,2.09,,,0,,OK
TH-02316,2026-06-01,C,17.2,,,,1.25,,,0,,OK
TH-02317,2026-06-01,C,17.2,,,,1.25,,,0,,
TH-02322,2026-06-01,C,17.2,,,,1.82,,,0,,
TH-02323,2026-06-01,C,17.2,,,,1.64,,,0,,warn
TH-02324,2026-06-01,C,17.2,,,,2.12,,,0,,OK
TH-02331,2026-06-01,C,17.2,,,,1.47,,,0,,
TH-02334,2026-06-01,C,17.2,,,,1.48,,,0,,warn
TH-02335,2026-06-01,C,17.2,,,,0.92,,,0,,
TH-02337,2026-06-01,C,17.2,,,,1.37,,,0,,warn
TH-02338,2026-06-01,C,17.2,,,,1.5,,,0,ALM_SM_LINK,OK
TH-02339,2026-06-01,C,17.2,,,,1.72,,,0,,
TH-02340,2026-06-01,C,17.2,,,,2.27,,,0,,warn
TH-02341,2026-06-01,C,17.2,,,,1.43,,,0,,
TH-02343,2026-06-01,C,17.2,,,,0.83,,,0,,
TH-02345,2026-06-01,C,17.2,,,,1.52,,,0,,warn
TH-02346,2026-06-01,C,17.2,32.5,,,1.14,,,0,,
TH-02347,2026-06-01,C,17.2,,,,1.46,,,0,,OK
TH-02348,2026-06-01,C,17.2,,,,1.1,,,0,,warn
TH-02351,2026-06-01,C,17.2,,,,1.55,,,0,,warn
TH-02352,2026-06-01,C,17.2,,,,1.88,,,0,,
TH-02354,2026-06-01,C,17.2,31.7,,,1.23,,,0,,warn
TH-02355,2026-06-01,C,17.2,,,,1.41,,,0,,OK
TH-02357,2026-06-01,C,17.2,,,,1.49,,,0,,OK
TH-02358,2026-06-01,C,17.2,,,,1.03,,,0,,
TH-02360,2026-06-01,C,17.2,,,,1.82,,,0,,
TH-02361,2026-06-01,C,17.2,,,,1.42,,,0,,OK
TH-02363,2026-06-01,C,17.2,,,,1.58,,,0,,OK
TH-02365,2026-06-01,C,17.2,,,,1.24,,,0,,OK
TH-02374,2026-06-01,C,17.2,,,,2.12,,,0,,OK
TH-02377,2026-06-01,C,17.2,,,,1.74,,,0,,
TH-02383,2026-06-01,C,17.2,,,,1.59,,,0,,warn
TH-02384,2026-06-01,C,17.2,,,,1.34,,,0,,warn
TH-02385,2026-06-01,C,17.2,,,,2.04,,,0,,warn
TH-02387,2026-06-01,C,17.2,,,,2.25,,,0,,OK
TH-02388,2026-06-01,C,17.2,,,,0.85,,,0,,OK
TH-02389,2026-06-01,C,17.2,33.4,,,1.73,,,0,,OK
TH-02393,2026-06-01,C,17.2,,,,0.86,,,0,,warn
TH-02395,2026-06-01,C,17.2,,,,1.58,,,0,,
TH-02397,2026-06-01,C,17.2,,,,1.58,,,0,,warn
TH-02400,2026-06-01,C,17.2,,,,1.43,,,0,,
TH-90000,2026-06-01,C,17.2,,,,7.16,,,0,,OK
TH-90001,2026-06-01,C,17.2,,,,13.89,,,0,,OK
TH-90002,2026-06-01,C,17.2,,,,9.63,,,0,,OK
TH-90003,2026-06-01,C,17.2,,,,3.69,,,0,,OK
TH-90004,2026-06-01,C,17.2,,,,11.31,,,0,,OK
th-02017,2026-06-01,A,17.2,31.6,25.3,52.0,1.48,6.2,10,0,,OK
th-02025,2026-06-01,A,17.2,33.4,28.6,46.6,1.7,6.1,11,0,,ok
th-02030,2026-06-01,A,17.2,31.5,25.8,49.3,1.96,7.1,13,0,,OK
th-02034,2026-06-01,A,17.2,32.7,26.0,52.0,1.22,4.3,7,0,,OK
th-02055,2026-06-01,A,17.2,31.9,27.0,51.5,1.75,6.3,6,0,,OK
th-02072,2026-06-01,A,17.2,30.7,26.0,52.0,0.8,3.4,3,0,,OK
th-02078,2026-06-01,A,17.2,31.3,26.1,46.7,1.32,4.5,5,0,,ok
th-02084,2026-06-01,A,17.2,33.1,27.0,52.1,1.93,6.8,8,0,,ok
th-02091,2026-06-01,A,17.2,31.6,24.1,46.2,1.54,5.2,8,0,,OK
th-02099,2026-06-01,A,17.2,32.4,26.9,48.2,1.0,3.4,10,0,,ok
th-02101,2026-06-01,A,17.2,33.1,27.9,51.4,1.79,5.9,12,0,,OK
th-02103,2026-06-01,A,17.2,31.1,24.8,50.5,2.09,7.1,10,0,,OK
th-02120,2026-06-01,A,17.2,30.8,25.1,47.1,1.93,7.1,10,0,,ok
th-02130,2026-06-01,A,17.2,33.3,26.5,51.1,1.09,4.4,14,0,,ok
th-02138,2026-06-01,A,17.2,32.7,26.3,48.4,1.27,5.4,9,0,,ok
th-02144,2026-06-01,B,17.2,,,,12892.3,,11,0,6021,0
th-02168,2026-06-01,B,17.2,,,,13597.3,,13,0,,0
th-02169,2026-06-01,B,17.2,,,,18417.1,,11,0,6021,0
th-02190,2026-06-01,B,17.2,,,,24624.8,,13,0,6021,0
th-02195,2026-06-01,B,17.2,,,,14783.4,,5,0,,0
th-02206,2026-06-01,B,17.2,,,,17345.5,,11,0,,0
th-02207,2026-06-01,B,17.2,,,,13626.2,,6,0,,0
th-02221,2026-06-01,B,17.2,,,,16147.0,,7,0,,0
th-02235,2026-06-01,B,17.2,,,,22628.4,,6,0,,0
th-02251,2026-06-01,B,17.2,,,,24400.9,,14,0,,0
th-02255,2026-06-01,B,17.2,,,,12875.6,,2,0,,0
th-02280,2026-06-01,B,17.2,,,,17663.0,,5,0,6021,0
th-02281,2026-06-01,B,17.2,,,,4205.6,,11,0,,0
th-02288,2026-06-01,B,17.2,,,,5382.1,,11,0,,0
th-02292,2026-06-01,C,17.2,,,,2.19,,,0,,OK
th-02309,2026-06-01,C,17.2,,,,1.58,,,0,,OK
th-02312,2026-06-01,C,17.2,,,,1.33,,,0,,OK
th-02319,2026-06-01,C,17.2,,,,1.26,,,0,,OK
th-02333,2026-06-01,C,17.2,,,,1.33,,,0,,
th-02342,2026-06-01,C,17.2,,,,1.4,,,0,,OK
th-02344,2026-06-01,C,17.2,,,,2.05,,,0,,OK
th-02375,2026-06-01,C,17.2,,,,2.29,,,0,,
th-02379,2026-06-01,C,17.2,,,,1.1,,,0,,warn
th-02380,2026-06-01,C,17.2,,,,1.75,,,0,,
th-02396,2026-06-01,C,17.2,,,,1.46,,,0,,
th-02398,2026-06-01,C,17.2,,,,0.99,,,0,,
 TH-02004,2026-06-02,A,20.1,33.0,26.8,52.4,0.87,3.1,10,0,,ok
 TH-02031,2026-06-02,A,20.1,33.4,27.8,52.5,1.78,5.6,12,0,,ok
 TH-02063,2026-06-02,A,20.1,31.3,24.0,47.6,0.98,3.9,9,0,,ok
 TH-02071,2026-06-02,A,20.1,31.0,24.0,53.0,0.96,3.0,6,0,,ok
 TH-02075,2026-06-02,A,20.1,33.0,26.6,50.0,0.9,3.8,4,0,,ok
 TH-02094,2026-06-02,A,20.1,-999,26.1,52.0,1.35,5.4,5,0,,ok
 TH-02103,2026-06-02,A,20.1,31.5,24.6,49.3,0.85,3.6,10,0,,ok
 TH-02112,2026-06-02,A,20.1,31.2,24.5,52.5,1.25,4.1,4,0,,ok
 TH-02121,2026-06-02,A,20.1,33.2,26.6,49.4,1.26,5.5,10,0,,ok
 TH-02129,2026-06-02,A,20.1,31.7,24.9,52.6,1.82,6.9,11,0,,ok
 TH-02194,2026-06-02,B,20.1,,,,18962.8,,10,0,6021,0
 TH-02226,2026-06-02,B,20.1,,,,9692.5,,10,0,,0
 TH-02251,2026-06-02,B,20.1,,,,24402.0,,11,0,,0
 TH-02256,2026-06-02,B,20.1,,,,7798.4,,10,0,6021,0
 TH-02257,2026-06-02,B,20.1,,,,21227.1,,4,0,,0
 TH-02260,2026-06-02,B,20.1,,,,7283.5,,6,0,,0
 TH-02268,2026-06-02,B,20.1,,,,23771.0,,9,0,,0
 TH-02270,2026-06-02,B,20.1,,,,21881.9,,14,0,,0
 TH-02297,2026-06-02,C,20.1,,,,1.28,,,0,,OK
 TH-02299,2026-06-02,C,20.1,,,,1.14,,,0,,warn
 TH-02300,2026-06-02,C,20.1,,,52.3,1.78,,,0,,warn
 TH-02333,2026-06-02,C,20.1,,,,1.53,,,0,,OK
 TH-02352,2026-06-02,C,20.1,,,,1.49,,,0,,warn
 TH-02366,2026-06-02,C,20.1,,,,1.65,,,0,,OK
 TH-02374,2026-06-02,C,20.1,,,,1.0,,,0,,
 TH-02384,2026-06-02,C,20.1,,,,0.75,,,0,,warn
 TH-02400,2026-06-02,C,20.1,,,,1.43,,,0,,
TH-02001,2026-06-02,A,20.1,32.4,26.0,51.9,1.75,6.6,4,0,,OK
TH-02006,2026-06-02,A,20.1,31.4,26.6,52.1,0.94,3.7,6,0,,ok
TH-02011,2026-06-02,A,20.1,31.5,24.7,46.3,1.65,5.5,11,0,,OK
TH-02012,2026-06-02,A,20.1,31.2,24.0,51.6,2.07,6.5,9,0,,ok
TH-02015,2026-06-02,A,20.1,31.7,27.1,47.2,1.72,5.4,8,0,,OK
TH-02016,2026-06-02,A,20.1,31.1,26.6,49.4,1.97,6.3,11,0,,OK
TH-02017,2026-06-02,A,20.1,33.3,27.9,48.2,1.61,6.0,5,0,,OK
TH-02019,2026-06-02,A,20.1,31.2,25.2,47.3,1.18,4.1,7,0,,OK
TH-02020,2026-06-02,A,20.1,32.3,25.0,50.9,1.03,4.3,6,0,,ok
TH-02021,2026-06-02,A,20.1,33.3,27.2,46.4,2.17,7.0,5,0,,OK
TH-02023,2026-06-02,A,20.1,32.1,26.9,49.0,1.69,6.8,11,0,,ok
TH-02025,2026-06-02,A,20.1,32.0,25.1,49.1,1.5,6.0,11,0,,OK
TH-02028,2026-06-02,A,20.1,33.0,25.7,48.9,0.78,3.1,10,0,,OK
TH-02030,2026-06-02,A,20.1,30.9,24.4,50.6,1.39,5.8,8,0,,OK
TH-02032,2026-06-02,A,20.1,31.6,25.0,51.8,1.5,5.1,3,0,E-104,ok
TH-02033,2026-06-02,A,20.1,31.5,25.3,52.1,1.38,5.4,2,0,,OK
TH-02034,2026-06-02,A,20.1,31.8,26.4,51.5,1.29,5.5,15,0,,ok
TH-02036,2026-06-02,A,20.1,31.1,26.4,46.7,-3.55,5.6,8,0,,OK
TH-02037,2026-06-02,A,20.1,32.8,25.4,50.9,1.0,3.5,7,0,,OK
TH-02038,2026-06-02,A,20.1,30.9,24.3,50.0,1.12,3.5,3,0,,OK
TH-02044,2026-06-02,A,20.1,30.6,24.6,47.1,1.42,5.5,7,0,,OK
TH-02045,2026-06-02,A,20.1,31.9,25.5,47.6,1.23,3.9,12,0,,OK
TH-02047,2026-06-02,A,20.1,32.5,27.6,47.8,2.12,6.6,12,0,,OK
TH-02048,2026-06-02,A,20.1,31.7,25.0,46.8,1.61,6.7,7,0,,ok
TH-02049,2026-06-02,A,20.1,33.1,28.0,47.1,2.26,7.4,8,0,,ok
TH-02050,2026-06-02,A,20.1,32.4,27.1,48.4,1.05,4.2,8,0,,ok
TH-02051,2026-06-02,A,20.1,31.1,25.8,47.1,1.67,5.9,3,0,,ok
TH-02053,2026-06-02,A,20.1,32.1,27.4,48.4,1.41,6.1,13,0,,OK
TH-02054,2026-06-02,A,20.1,31.7,25.8,47.6,1.08,4.3,4,0,,OK
TH-02055,2026-06-02,A,20.1,32.1,25.3,47.6,1.1,3.8,4,0,,OK
TH-02056,2026-06-02,A,20.1,31.5,26.0,52.3,1.67,5.4,9,0,,ok
TH-02062,2026-06-02,A,20.1,32.1,25.0,49.2,1.81,5.7,10,0,,OK
TH-02065,2026-06-02,A,20.1,31.0,25.7,49.1,1.08,4.5,11,0,,OK
TH-02068,2026-06-02,A,20.1,33.1,26.7,52.1,1.53,6.0,8,0,,ok
TH-02072,2026-06-02,A,20.1,31.4,24.3,49.9,2.06,6.6,8,0,E-211,OK
TH-02073,2026-06-02,A,20.1,32.1,24.9,51.1,1.04,4.5,4,0,,ok
TH-02074,2026-06-02,A,20.1,33.1,27.3,49.1,1.54,5.1,9,0,,OK
TH-02076,2026-06-02,A,20.1,33.0,25.6,48.7,1.22,5.0,10,0,,OK
TH-02077,2026-06-02,A,20.1,31.1,24.3,51.1,0.83,3.4,12,0,,ok
TH-02078,2026-06-02,A,20.1,31.1,26.5,46.0,0.92,3.0,10,0,,ok
TH-02080,2026-06-02,A,20.1,30.8,23.5,46.4,0.9,3.2,13,0,,ok
TH-02081,2026-06-02,A,20.1,32.1,25.4,49.2,1.55,6.7,11,0,,OK
TH-02083,2026-06-02,A,20.1,33.3,26.9,52.8,1.68,5.8,9,0,,ok
TH-02084,2026-06-02,A,20.1,30.9,25.4,52.1,2.0,7.4,9,0,,OK
